30.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
01:37:08.1 (6054298)|VARIABLE_ASSIGNMENT|[5]|i|3
01:37:08.1 (6058546)|STATEMENT_EXECUTE|[5]
01:37:08.1 (6059549)|STATEMENT_EXECUTE|[6]
01:37:08.1 (6066511)|HEAP_ALLOCATE|[6]|Bytes:1
01:37:08.1 (6073437)|HEAP_ALLOCATE|[6]|Bytes:5
01:37:08.1 (6076813)|VARIABLE_SCOPE_BEGIN|[6]|s1|String|false|false
01:37:08.1 (6083030)|VARIABLE_ASSIGNMENT|[6]|s1|"Test3"
01:37:08.1 (6086404)|STATEMENT_EXECUTE|[7]
01:37:08.1 (6089803)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (6093703)|STATEMENT_EXECUTE|[8]
01:37:08.1 (6095727)|HEAP_ALLOCATE|[8]|Bytes:5
01:37:08.1 (6100773)|USER_DEBUG|[8]|DEBUG|Test3
01:37:08.1 (6105273)|HEAP_ALLOCATE|[5]|Bytes:4
01:37:08.1 (6108869)|VARIABLE_ASSIGNMENT|[5]|i|4
01:37:08.1 (6112995)|STATEMENT_EXECUTE|[5]
01:37:08.1 (6114389)|STATEMENT_EXECUTE|[6]
01:37:08.1 (6120929)|HEAP_ALLOCATE|[6]|Bytes:1
01:37:08.1 (6127791)|HEAP_ALLOCATE|[6]|Bytes:5
01:37:08.1 (6131228)|VARIABLE_SCOPE_BEGIN|[6]|s1|String|false|false
01:37:08.1 (6137706)|VARIABLE_ASSIGNMENT|[6]|s1|"Test4"
01:37:08.1 (6141215)|STATEMENT_EXECUTE|[7]
01:37:08.1 (6144790)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (6148511)|STATEMENT_EXECUTE|[8]
01:37:08.1 (6150485)|HEAP_ALLOCATE|[8]|Bytes:5
01:37:08.1 (6155811)|USER_DEBUG|[8]|DEBUG|Test4
01:37:08.1 (6160566)|HEAP_ALLOCATE|[5]|Bytes:4
01:37:08.1 (6164029)|VARIABLE_ASSIGNMENT|[5]|i|5
01:37:08.1 (6167813)|STATEMENT_EXECUTE|[5]
01:37:08.1 (6168830)|STATEMENT_EXECUTE|[6]
01:37:08.1 (6175430)|HEAP_ALLOCATE|[6]|Bytes:1
01:37:08.1 (6182634)|HEAP_ALLOCATE|[6]|Bytes:5
01:37:08.1 (6186669)|VARIABLE_SCOPE_BEGIN|[6]|s1|String|false|false
01:37:08.1 (6192531)|VARIABLE_ASSIGNMENT|[6]|s1|"Test5"
01:37:08.1 (6195414)|STATEMENT_EXECUTE|[7]
01:37:08.1 (6198622)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (6202398)|STATEMENT_EXECUTE|[8]
01:37:08.1 (6204425)|HEAP_ALLOCATE|[8]|Bytes:5
01:37:08.1 (6208827)|USER_DEBUG|[8]|DEBUG|Test5
01:37:08.1 (6213202)|HEAP_ALLOCATE|[5]|Bytes:4
01:37:08.1 (6217216)|VARIABLE_ASSIGNMENT|[5]|i|6
01:37:08.1 (6221397)|STATEMENT_EXECUTE|[5]
01:37:08.1 (6222407)|STATEMENT_EXECUTE|[6]
01:37:08.1 (6228957)|HEAP_ALLOCATE|[6]|Bytes:1
01:37:08.1 (6236744)|HEAP_ALLOCATE|[6]|Bytes:5
01:37:08.1 (6240490)|VARIABLE_SCOPE_BEGIN|[6]|s1|String|false|false
01:37:08.1 (6246501)|VARIABLE_ASSIGNMENT|[6]|s1|"Test6"
01:37:08.1 (6249762)|STATEMENT_EXECUTE|[7]
01:37:08.1 (6253040)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (6256999)|STATEMENT_EXECUTE|[8]
01:37:08.1 (6258969)|HEAP_ALLOCATE|[8]|Bytes:5
01:37:08.1 (6263405)|USER_DEBUG|[8]|DEBUG|Test6
01:37:08.1 (6267783)|HEAP_ALLOCATE|[5]|Bytes:4
01:37:08.1 (6271624)|VARIABLE_ASSIGNMENT|[5]|i|7
01:37:08.1 (6275628)|STATEMENT_EXECUTE|[5]
01:37:08.1 (6276674)|STATEMENT_EXECUTE|[6]
01:37:08.1 (6283281)|HEAP_ALLOCATE|[6]|Bytes:1
01:37:08.1 (6290775)|HEAP_ALLOCATE|[6]|Bytes:5
01:37:08.1 (6294148)|VARIABLE_SCOPE_BEGIN|[6]|s1|String|false|false
01:37:08.1 (6300901)|VARIABLE_ASSIGNMENT|[6]|s1|"Test7"
01:37:08.1 (6305919)|STATEMENT_EXECUTE|[7]
01:37:08.1 (6309818)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (6313824)|STATEMENT_EXECUTE|[8]
01:37:08.1 (6315923)|HEAP_ALLOCATE|[8]|Bytes:5
01:37:08.1 (6321458)|USER_DEBUG|[8]|DEBUG|Test7
01:37:08.1 (6326689)|HEAP_ALLOCATE|[5]|Bytes:4
01:37:08.1 (6330146)|VARIABLE_ASSIGNMENT|[5]|i|8
01:37:08.1 (6334359)|STATEMENT_EXECUTE|[5]
01:37:08.1 (6335476)|STATEMENT_EXECUTE|[6]
01:37:08.1 (6342218)|HEAP_ALLOCATE|[6]|Bytes:1
01:37:08.1 (6349383)|HEAP_ALLOCATE|[6]|Bytes:5
01:37:08.1 (6352485)|VARIABLE_SCOPE_BEGIN|[6]|s1|String|false|false
01:37:08.1 (6358690)|VARIABLE_ASSIGNMENT|[6]|s1|"Test8"
01:37:08.1 (6362417)|STATEMENT_EXECUTE|[7]
01:37:08.1 (6365767)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (6369951)|STATEMENT_EXECUTE|[8]
01:37:08.1 (6375701)|HEAP_ALLOCATE|[8]|Bytes:5
01:37:08.1 (6381121)|USER_DEBUG|[8]|DEBUG|Test8
01:37:08.1 (6385584)|HEAP_ALLOCATE|[5]|Bytes:4
01:37:08.1 (6390287)|VARIABLE_ASSIGNMENT|[5]|i|9
01:37:08.1 (6394700)|STATEMENT_EXECUTE|[5]
01:37:08.1 (6395702)|STATEMENT_EXECUTE|[6]
01:37:08.1 (6402562)|HEAP_ALLOCATE|[6]|Bytes:1
01:37:08.1 (6409136)|HEAP_ALLOCATE|[6]|Bytes:5
01:37:08.1 (6412818)|VARIABLE_SCOPE_BEGIN|[6]|s1|String|false|false
01:37:08.1 (6419141)|VARIABLE_ASSIGNMENT|[6]|s1|"Test9"
01:37:08.1 (6422882)|STATEMENT_EXECUTE|[7]
01:37:08.1 (6426094)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (6430006)|STATEMENT_EXECUTE|[8]
01:37:08.1 (6431941)|HEAP_ALLOCATE|[8]|Bytes:5
01:37:08.1 (6436640)|USER_DEBUG|[8]|DEBUG|Test9
01:37:08.1 (6440885)|HEAP_ALLOCATE|[5]|Bytes:4
01:37:08.1 (6444429)|VARIABLE_ASSIGNMENT|[5]|i|10
01:37:08.1 (6449256)|STATEMENT_EXECUTE|[10]
01:37:08.1 (6470049)|USER_DEBUG|[10]|DEBUG|(Test0, Test1, Test2, Test3, Test4, Test5, Test6, Test7, Test8, Test9)
01:37:08.1 (6476674)|STATEMENT_EXECUTE|[11]
01:37:08.1 (6481187)|METHOD_EXIT|[1]|01p7F000009200H|StringArrayTest.generateStringArray(Integer)
01:37:08.1 (6490424)|SYSTEM_MODE_EXIT|false
01:37:08.1 (6506084)|VARIABLE_ASSIGNMENT|[1]|strings|"List of size 10 too large to display"|0x2080d6fe
01:37:08.1 (6511821)|STATEMENT_EXECUTE|[1]
01:37:08.1 (6540064)|STATEMENT_EXECUTE|[1]
01:37:08.1 (6544485)|HEAP_ALLOCATE|[1]|Bytes:5
01:37:08.1 (6549713)|HEAP_ALLOCATE|[1]|Bytes:6
01:37:08.1 (6603642)|EXCEPTION_THROWN|[1]|System.AssertException: Assertion Failed: Expected: Test0, Actual: Test 0
01:37:08.1 (6711042)|HEAP_ALLOCATE|[1]|Bytes:53
01:37:08.1 (6782182)|FATAL_ERROR|System.AssertException: Assertion Failed: Expected: Test0, Actual: Test 0

AnonymousBlock: line 1, column 1
01:37:08.6 (6818695)|CUMULATIVE_LIMIT_USAGE
01:37:08.6 (6818695)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

01:37:08.6 (6818695)|CUMULATIVE_LIMIT_USAGE_END

01:37:08.1 (6853167)|CODE_UNIT_FINISHED|execute_anonymous_apex
01:37:08.1 (7936407)|EXECUTION_FINISHED
